,0
lag_1,7683.669547237456
roll_max_7,147.99266232550144
roll_mean_7,120.22895269095898
doy_cos,98.5731972232461
roll_mean_30,96.40515793859959
doy_sin,84.10288511961699
roll_mean_14,81.2493604272604
lag_365,78.37230817973614
lag_2,76.03698942810297
lag_7,75.93115893751383
roll_std_7,69.6341356113553
lag_3,62.445157051086426
lag_30,59.11469393223524
roll_std_30,53.89251182228327
roll_std_14,50.677569925785065
lag_14,48.97460167855024
roll_min_7,41.92551404237747
day_of_year,40.71707350760698
roll_max_30,28.086237996816635
dow_cos,25.72868585586548
roll_min_30,21.78913840651512
day_of_week,17.59789276123047
dow_sin,8.587958097457886
month,0.7565799951553345
is_weekend,0.0
is_diwali,0.0
is_republic_day,0.0
is_holi,0.0
is_new_year,0.0
is_outlier,0.0
